Output of the implementation_of_the_code when

1. epochs is 30
2. mini_batch_size is 10
3. eta is 30

Epoch 0: 8217 / 10000
Epoch 1: 8368 / 10000
Epoch 2: 8433 / 10000
Epoch 3: 8436 / 10000
Epoch 4: 8490 / 10000
Epoch 5: 8500 / 10000
Epoch 6: 8542 / 10000
Epoch 7: 9426 / 10000
Epoch 8: 9437 / 10000
Epoch 9: 9385 / 10000
Epoch 10: 9415 / 10000
Epoch 11: 9438 / 10000
Epoch 12: 9464 / 10000
Epoch 13: 9427 / 10000
Epoch 14: 9452 / 10000
Epoch 15: 9450 / 10000
Epoch 16: 9469 / 10000
Epoch 17: 9443 / 10000
Epoch 18: 9467 / 10000
Epoch 19: 9452 / 10000
Epoch 20: 9463 / 10000
Epoch 21: 9457 / 10000
Epoch 22: 9472 / 10000
Epoch 23: 9457 / 10000
Epoch 24: 9471 / 10000
Epoch 25: 9466 / 10000
Epoch 26: 9449 / 10000
Epoch 27: 9453 / 10000
Epoch 28: 9488 / 10000
Epoch 29: 9484 / 10000
